Date,Cases
2005-01-03,168
2005-01-10,157
2005-01-17,96
2005-01-24,163
2005-01-31,122
2005-02-07,174
2005-02-14,153
2005-02-21,115
2005-02-28,119
2005-03-07,114
2005-03-14,127
2005-03-21,135
2005-03-28,116
2005-04-04,132
2005-04-11,129
2005-04-18,113
2005-04-25,114
2005-05-02,98
2005-05-09,140
2005-05-16,120
2005-05-23,173
2005-05-30,135
2005-06-06,143
2005-06-13,139
2005-06-20,155
2005-06-27,98
2005-07-04,87
2005-07-11,110
2005-07-18,70
2005-07-25,43
2005-08-01,37
2005-08-08,30
2005-08-15,21
2005-08-22,22
2005-08-29,15
2005-09-05,11
2005-09-12,7
2005-09-19,12
2005-09-26,5
2005-10-03,17
2005-10-10,11
2005-10-17,27
2005-10-24,23
2005-10-31,30
2005-11-07,48
2005-11-14,37
2005-11-21,32
2005-11-28,49
2005-12-05,67
2005-12-12,106
2005-12-19,83
2005-12-26,114
2006-01-02,129
2006-01-09,189
2006-01-16,79
2006-01-23,163
2006-01-30,110
2006-02-06,158
2006-02-13,182
2006-02-20,136
2006-02-27,207
2006-03-06,251
2006-03-13,141
2006-03-20,193
2006-03-27,169
2006-04-03,141
2006-04-10,193
2006-04-17,359
2006-04-24,268
2006-05-01,168
2006-05-08,338
2006-05-15,186
2006-05-22,266
2006-05-29,240
2006-06-05,162
2006-06-12,264
2006-06-19,133
2006-06-26,201
2006-07-03,236
2006-07-10,111
2006-07-17,76
2006-07-24,52
2006-07-31,30
2006-08-07,30
2006-08-14,74
2006-08-21,45
2006-08-28,41
2006-09-04,20
2006-09-11,15
2006-09-18,11
2006-09-25,10
2006-10-02,9
2006-10-09,35
2006-10-16,20
2006-10-23,19
2006-10-30,51
2006-11-06,53
2006-11-13,77
2006-11-20,62
2006-11-27,93
2006-12-04,78
2006-12-11,82
2006-12-18,84
2006-12-25,58
2007-01-01,114
2007-01-08,145
2007-01-15,93
2007-01-22,129
2007-01-29,114
2007-02-05,86
2007-02-12,127
2007-02-19,106
2007-02-26,211
2007-03-05,229
2007-03-12,145
2007-03-19,210
2007-03-26,267
2007-04-02,166
2007-04-09,168
2007-04-16,350
2007-04-23,224
2007-04-30,136
2007-05-07,278
2007-05-14,161
2007-05-21,385
2007-05-28,230
2007-06-04,284
2007-06-11,210
2007-06-18,125
2007-06-25,104
2007-07-02,140
2007-07-09,99
2007-07-16,35
2007-07-23,14
2007-07-30,34
2007-08-06,7
2007-08-13,7
2007-08-20,4
2007-08-27,4
2007-09-03,10
2007-09-10,6
2007-09-17,6
2007-09-24,12
2007-10-01,20
2007-10-08,14
2007-10-15,33
2007-10-22,20
2007-10-29,25
2007-11-05,93
2007-11-12,72
2007-11-19,54
2007-11-26,175
2007-12-03,126
2007-12-10,60
2007-12-17,193
2007-12-24,68
2007-12-31,183
2008-01-07,156
2008-01-14,479
2008-01-21,143
2008-01-28,193
2008-02-04,105
2008-02-11,136
2008-02-18,91
2008-02-25,150
2008-03-03,82
2008-03-10,64
2008-03-17,100
2008-03-24,95
2008-03-31,136
2008-04-07,80
2008-04-14,122
2008-04-21,117
2008-04-28,84
2008-05-05,133
2008-05-12,62
2008-05-19,211
2008-05-26,143
2008-06-02,128
2008-06-09,105
2008-06-16,140
2008-06-23,51
2008-06-30,70
2008-07-07,46
2008-07-14,17
2008-07-21,21
2008-07-28,51
2008-08-04,22
2008-08-11,11
2008-08-18,3
2008-08-25,10
2008-09-01,4
2008-09-08,3
2008-09-15,9
2008-09-22,14
2008-09-29,12
2008-10-06,22
2008-10-13,43
2008-10-20,27
2008-10-27,67
2008-11-03,78
2008-11-10,61
2008-11-17,62
2008-11-24,40
2008-12-01,98
2008-12-08,110
2008-12-15,142
2008-12-22,53
2008-12-29,39
2009-01-05,304
2009-01-12,300
2009-01-19,115
2009-01-26,176
2009-02-02,176
2009-02-09,157
2009-02-16,188
2009-02-23,128
2009-03-02,165
2009-03-09,129
2009-03-16,197
2009-03-23,129
2009-03-30,217
2009-04-06,109
2009-04-13,212
2009-04-20,265
2009-04-27,149
2009-05-04,143
2009-05-11,165
2009-05-18,198
2009-05-25,197
2009-06-01,211
2009-06-08,177
2009-06-15,168
2009-06-22,110
2009-06-29,65
2009-07-06,104
2009-07-13,85
2009-07-20,54
2009-07-27,18
2009-08-03,16
2009-08-10,14
2009-08-17,7
2009-08-24,27
2009-08-31,16
2009-09-07,11
2009-09-14,2
2009-09-21,4
2009-09-28,7
2009-10-05,15
2009-10-12,30
2009-10-19,31
2009-10-26,25
2009-11-02,50
2009-11-09,37
2009-11-16,59
2009-11-23,58
2009-11-30,42
2009-12-07,91
2009-12-14,86
2009-12-21,41
2009-12-28,47
2010-01-04,166
2010-01-11,113
2010-01-18,62
2010-01-25,82
2010-02-01,56
2010-02-08,46
2010-02-15,48
2010-02-22,124
2010-03-01,74
2010-03-08,116
2010-03-15,120
2010-03-22,101
2010-03-29,121
2010-04-05,160
2010-04-12,199
2010-04-19,147
2010-04-26,130
2010-05-03,175
2010-05-10,156
2010-05-17,185
2010-05-24,123
2010-05-31,151
2010-06-07,150
2010-06-14,169
2010-06-21,154
2010-06-28,68
2010-07-05,93
2010-07-12,74
2010-07-19,56
2010-07-26,35
2010-08-02,24
2010-08-09,11
2010-08-16,35
2010-08-23,11
2010-08-30,22
2010-09-06,8
2010-09-13,5
2010-09-20,23
2010-09-27,27
2010-10-04,33
2010-10-11,74
2010-10-18,57
2010-10-25,95
2010-11-01,73
2010-11-08,171
2010-11-15,206
2010-11-22,144
2010-11-29,155
2010-12-06,191
2010-12-13,125
2010-12-20,157
2010-12-27,121
