date,humidity (grams of water vapor per cubic meter volume of air)
1/1/2013,84.5
1/2/2013,92
1/3/2013,87
1/4/2013,71.33333333
1/5/2013,86.83333333
1/6/2013,82.8
1/7/2013,78.6
1/8/2013,63.71428571
1/9/2013,51.25
1/10/2013,62
1/11/2013,51.28571429
1/12/2013,74
1/13/2013,75.16666667
1/14/2013,88.16666667
1/15/2013,71.85714286
1/16/2013,86.66666667
1/17/2013,80.83333333
1/18/2013,92.16666667
1/19/2013,76.66666667
1/20/2013,75.28571429
1/21/2013,77
1/22/2013,79.66666667
1/23/2013,60.16666667
1/24/2013,60.66666667
1/25/2013,67
1/26/2013,64.16666667
1/27/2013,65.57142857
1/28/2013,56
1/29/2013,65.5
1/30/2013,70.42857143
1/31/2013,65.6
2/1/2013,73
2/2/2013,77.57142857
2/3/2013,65.57142857
2/4/2013,74.28571429
2/5/2013,92.375
2/6/2013,71.33333333
2/7/2013,59.4
2/8/2013,70.42857143
2/9/2013,61.28571429
2/10/2013,71.5
2/11/2013,70.5
2/12/2013,70.33333333
2/13/2013,70.14285714
2/14/2013,63.83333333
2/15/2013,65.33333333
2/16/2013,92.71428571
2/17/2013,90
2/18/2013,78.4
2/19/2013,82
2/20/2013,74.71428571
2/21/2013,67.28571429
2/22/2013,65.625
2/23/2013,74.85714286
2/24/2013,78.85714286
2/25/2013,72.875
2/26/2013,70
2/27/2013,57.2
2/28/2013,52.85714286
3/1/2013,49.33333333
3/2/2013,54
3/3/2013,62.83333333
3/4/2013,71
3/5/2013,61.875
3/6/2013,65.28571429
3/7/2013,57.14285714
3/8/2013,44.83333333
3/9/2013,49.71428571
3/10/2013,57.57142857
3/11/2013,66.33333333
3/12/2013,62.5
3/13/2013,70.5
3/14/2013,61.16666667
3/15/2013,45.83333333
3/16/2013,67.66666667
3/17/2013,58.66666667
3/18/2013,58.14285714
3/19/2013,73.66666667
3/20/2013,36.33333333
3/21/2013,58.5
3/22/2013,50.25
3/23/2013,50.125
3/24/2013,48.75
3/25/2013,45.5
3/26/2013,44.57142857
3/27/2013,62
3/28/2013,62.71428571
3/29/2013,70.375
3/30/2013,54.75
3/31/2013,58
4/1/2013,45.5
4/2/2013,51
4/3/2013,45.6
4/4/2013,41.8
4/5/2013,31
4/6/2013,29.85714286
4/7/2013,23.28571429
4/8/2013,33.85714286
4/9/2013,30.5
4/10/2013,28
4/11/2013,24.2
4/12/2013,32.57142857
4/13/2013,29.2
4/14/2013,39.375
4/15/2013,41.375
4/16/2013,24.625
4/17/2013,24.2
4/18/2013,30.28571429
4/19/2013,31.28571429
4/20/2013,29
4/21/2013,38.66666667
4/22/2013,45.375
4/23/2013,44.125
4/24/2013,41.71428571
4/25/2013,38.28571429
4/26/2013,45.875
4/27/2013,31.42857143
4/28/2013,28
4/29/2013,26.375
4/30/2013,32
5/1/2013,15.85714286
5/2/2013,22.16666667
5/3/2013,31.57142857
5/4/2013,31.42857143
5/5/2013,31.125
5/6/2013,39.25
5/7/2013,33.25
5/8/2013,23
5/9/2013,26
5/10/2013,27.71428571
5/11/2013,30.375
5/12/2013,40.14285714
5/13/2013,34
5/14/2013,34.28571429
5/15/2013,33
5/16/2013,34.75
5/17/2013,28.16666667
5/18/2013,42.2
5/19/2013,22.33333333
5/20/2013,24.2
5/21/2013,19
5/22/2013,22.125
5/23/2013,23.33333333
5/24/2013,27.42857143
5/25/2013,22.42857143
5/26/2013,21.2
5/27/2013,31.57142857
5/28/2013,29
5/29/2013,27.85714286
5/30/2013,28.2
5/31/2013,40.125
6/1/2013,54
6/2/2013,56.6
6/3/2013,47
6/4/2013,42.57142857
6/5/2013,36.5
6/6/2013,61.71428571
6/7/2013,49.25
6/8/2013,57.4
6/9/2013,40
6/10/2013,42.75
6/11/2013,61.66666667
6/12/2013,54.14285714
6/13/2013,68.66666667
6/14/2013,68.14285714
6/15/2013,65
6/16/2013,88.85714286
6/17/2013,87.375
6/18/2013,83.6
6/19/2013,72.85714286
6/20/2013,52.71428571
6/21/2013,47.33333333
6/22/2013,39.4
6/23/2013,53
6/24/2013,55
6/25/2013,70.42857143
6/26/2013,71.5
6/27/2013,61.85714286
6/28/2013,64.25
6/29/2013,57
6/30/2013,52.16666667
7/1/2013,54
7/2/2013,58.28571429
7/3/2013,70
7/4/2013,67.5
7/5/2013,62.2
7/6/2013,73.14285714
7/7/2013,77.33333333
7/8/2013,75.16666667
7/9/2013,78.83333333
7/10/2013,75.375
7/11/2013,65.5
7/12/2013,86.625
7/13/2013,70.25
7/14/2013,71.625
7/15/2013,73.25
7/16/2013,83.875
7/17/2013,78.375
7/18/2013,76
