date,TrafficCount (#) 
1/20/20 0:00,487
1/20/20 0:30,385
1/20/20 1:30,269
1/20/20 2:30,517
1/20/20 3:30,129
1/20/20 4:30,278
1/20/20 5:30,435
1/20/20 6:30,277
1/20/20 7:30,1082
1/20/20 8:30,3432
1/20/20 9:30,7446
1/20/20 10:30,10434
1/20/20 11:30,11825
1/20/20 12:30,8564
1/20/20 13:30,11594
1/20/20 14:30,10035
1/20/20 15:30,7657
1/20/20 16:30,6183
1/20/20 17:30,4876
1/20/20 18:30,4049
1/20/20 19:30,2338
1/20/20 20:30,1160
1/20/20 21:30,1398
1/20/20 22:30,633
1/20/20 23:30,263
1/21/20 0:30,261
1/21/20 1:30,256
1/21/20 2:30,281
1/21/20 3:30,338
1/21/20 4:30,263
1/21/20 5:30,617
1/21/20 6:30,557
1/21/20 7:30,2673
1/21/20 8:30,8002
1/21/20 9:30,16128
1/21/20 10:30,24905
1/21/20 11:30,34959
1/21/20 12:30,28782
1/21/20 13:30,30171
1/21/20 14:30,27725
1/21/20 15:30,24082
1/21/20 16:30,19487
1/21/20 17:30,16054
1/21/20 18:30,12194
1/21/20 19:30,9077
1/21/20 20:30,4919
1/21/20 21:30,3826
1/21/20 22:30,1087
1/21/20 23:30,877
1/22/20 0:30,381
1/22/20 1:30,209
1/22/20 2:30,196
1/22/20 3:30,365
1/22/20 4:30,300
1/22/20 5:30,278
1/22/20 6:30,824
1/22/20 7:30,3164
1/22/20 8:30,7674
1/22/20 9:30,16821
1/22/20 10:30,38016
1/22/20 11:30,52405
1/22/20 12:30,42522
1/22/20 13:30,47863
1/22/20 14:30,56875
1/22/20 15:30,55951
1/22/20 16:30,44857
1/22/20 17:30,33734
1/22/20 18:30,21005
1/22/20 19:30,13542
1/22/20 20:30,8156
1/22/20 21:30,5830
1/22/20 22:30,1108
1/22/20 23:30,465
1/23/20 0:30,700
1/23/20 1:30,657
1/23/20 2:30,291
1/23/20 3:30,271
1/23/20 4:30,137
1/23/20 5:30,705
1/23/20 6:30,711
1/23/20 7:30,4540
1/23/20 8:30,12331
1/23/20 9:30,27280
1/23/20 10:30,42804
1/23/20 11:30,70022
1/23/20 12:30,36496
1/23/20 13:30,40285
1/23/20 14:30,53660
1/23/20 15:30,38065
1/23/20 16:30,27922
1/23/20 17:30,20750
1/23/20 18:30,18226
1/23/20 19:30,15738
1/23/20 20:30,10311
1/23/20 21:30,4085
1/23/20 22:30,2290
1/23/20 23:30,1650
1/24/20 0:30,1452
1/24/20 1:30,1550
1/24/20 2:30,614
1/24/20 3:30,480
1/24/20 4:30,790
1/24/20 5:30,1296
1/24/20 6:30,1673
1/24/20 7:30,3989
1/24/20 8:30,10633
1/24/20 9:30,28351
1/24/20 10:30,45847
1/24/20 11:30,50883
1/24/20 12:30,16492
1/24/20 13:30,13566
1/24/20 14:30,14750
1/24/20 15:30,12137
1/24/20 16:30,10018
1/24/20 17:30,8721
1/24/20 18:30,7211
1/24/20 19:30,4098
1/24/20 20:30,2157
1/24/20 21:30,1179
1/24/20 22:30,957
1/24/20 23:30,735
1/25/20 0:30,273
1/25/20 1:30,75
1/25/20 2:30,193
1/25/20 3:30,26
1/25/20 4:30,53
1/25/20 5:30,156
1/25/20 6:30,98
1/25/20 7:30,291
1/25/20 8:30,292
1/25/20 9:30,1020
1/25/20 10:30,1155
1/25/20 11:30,1348
1/25/20 12:30,1484
1/25/20 13:30,770
1/25/20 14:30,1052
1/25/20 15:30,990
1/25/20 16:30,730
1/25/20 17:30,1105
1/25/20 18:30,983
1/25/20 19:30,645
1/25/20 20:30,1038
1/25/20 21:30,1163
1/25/20 22:30,78
1/25/20 23:30,212
1/26/20 0:30,40
1/26/20 1:30,24
1/26/20 2:30,22
1/26/20 3:30,74
1/26/20 4:30,26
1/26/20 5:30,186
1/26/20 6:30,42
1/26/20 7:30,159
1/26/20 8:30,38
1/26/20 9:30,137
1/26/20 10:30,283
1/26/20 11:30,174
1/26/20 12:30,279
1/26/20 13:30,106
1/26/20 14:30,281
1/26/20 15:30,220
1/26/20 16:30,247
1/26/20 17:30,273
1/26/20 18:30,312
1/26/20 19:30,378
1/26/20 20:30,391
1/26/20 21:30,585
1/26/20 22:30,1092
1/26/20 23:30,591
1/27/20 0:00,591
1/27/20 0:30,177
1/27/20 1:30,54
1/27/20 2:30,630
1/27/20 3:30,104
1/27/20 4:30,229
1/27/20 5:30,604
1/27/20 6:30,459
1/27/20 7:30,1201
1/27/20 8:30,4929
1/27/20 9:30,10575
1/27/20 10:30,19226
1/27/20 11:30,22354
1/27/20 12:30,12963
1/27/20 13:30,18882
1/27/20 14:30,18978
1/27/20 15:30,14500
1/27/20 16:30,12747
1/27/20 17:30,8000
1/27/20 18:30,5748
1/27/20 19:30,3864
1/27/20 20:30,2333
1/27/20 21:30,1671
1/27/20 22:30,1062
1/27/20 23:30,730
1/28/20 0:30,287
1/28/20 1:30,586
1/28/20 2:30,259
1/28/20 3:30,100
1/28/20 4:30,42
1/28/20 5:30,416
1/28/20 6:30,508
1/28/20 7:30,3715
1/28/20 8:30,11569
1/28/20 9:30,32812
1/28/20 10:30,57912
1/28/20 11:30,57920
1/28/20 12:30,36753
1/28/20 13:30,36332
1/28/20 14:30,67709
1/28/20 15:30,53326
1/28/20 16:30,28977
1/28/20 17:30,21362
1/28/20 18:30,13204
1/28/20 19:30,7271
1/28/20 20:30,5412
1/28/20 21:30,3366
1/28/20 22:30,2418
1/28/20 23:30,1598
1/29/20 0:30,751
1/29/20 1:30,301
1/29/20 2:30,400
1/29/20 3:30,263
1/29/20 4:30,640
1/29/20 5:30,789
1/29/20 6:30,902
1/29/20 7:30,3080
1/29/20 8:30,7548
1/29/20 9:30,16324
1/29/20 10:30,27762
1/29/20 11:30,37382
1/29/20 12:30,28917
1/29/20 13:30,33851
1/29/20 14:30,39130
1/29/20 15:30,30129
1/29/20 16:30,28605
1/29/20 17:30,21211
1/29/20 18:30,14628
1/29/20 19:30,7809
1/29/20 20:30,5129
1/29/20 21:30,5841
1/29/20 22:30,2739
1/29/20 23:30,1168
1/30/20 0:30,544
1/30/20 1:30,651
1/30/20 2:30,339
1/30/20 3:30,232
1/30/20 4:30,317
1/30/20 5:30,815
1/30/20 6:30,358
1/30/20 7:30,1100
1/30/20 8:30,3025
1/30/20 9:30,6309
1/30/20 10:30,11269
1/30/20 11:30,12526
1/30/20 12:30,9999
1/30/20 13:30,10471
1/30/20 14:30,13108
1/30/20 15:30,9376
1/30/20 16:30,8639
1/30/20 17:30,5820
1/30/20 18:30,3393
1/30/20 19:30,8998
1/30/20 20:30,5970
1/30/20 21:30,4107
1/30/20 22:30,3923
1/30/20 23:30,2472
1/31/20 0:30,1161
1/31/20 1:30,645
1/31/20 2:30,831
1/31/20 3:30,556
1/31/20 4:30,1427
1/31/20 5:30,1051
1/31/20 6:30,864
1/31/20 7:30,4353
1/31/20 8:30,10232
1/31/20 9:30,21852
1/31/20 10:30,37863
1/31/20 11:30,36079
1/31/20 12:30,24861
1/31/20 13:30,28332
1/31/20 14:30,32294
1/31/20 15:30,23005
1/31/20 16:30,21279
1/31/20 17:30,13542
1/31/20 18:30,9496
1/31/20 19:30,6625
1/31/20 20:30,3396
1/31/20 21:30,1684
1/31/20 22:30,559
1/31/20 23:30,429
2/1/20 0:30,286
2/1/20 1:30,221
2/1/20 2:30,236
2/1/20 3:30,149
2/1/20 4:30,56
2/1/20 5:30,211
2/1/20 6:30,259
2/1/20 7:30,212
2/1/20 8:30,237
2/1/20 9:30,373
2/1/20 10:30,544
2/1/20 11:30,308
2/1/20 12:30,539
2/1/20 13:30,506
2/1/20 14:30,364
2/1/20 15:30,449
2/1/20 16:30,505
2/1/20 17:30,996
2/1/20 18:30,795
2/1/20 19:30,1231
2/1/20 20:30,555
2/1/20 21:30,980
2/1/20 22:30,830
2/1/20 23:30,592
2/2/20 0:30,433
2/2/20 1:30,298
2/2/20 2:30,369
2/2/20 3:30,83
2/2/20 4:30,72
2/2/20 5:30,393
2/2/20 6:30,248
2/2/20 7:30,158
2/2/20 8:30,262
2/2/20 9:30,169
2/2/20 10:30,267
2/2/20 11:30,371
2/2/20 12:30,175
2/2/20 13:30,343
2/2/20 14:30,345
2/2/20 15:30,264
2/2/20 16:30,384
2/2/20 17:30,373
2/2/20 18:30,794
2/2/20 19:30,394
2/2/20 20:30,453
2/2/20 21:30,519
2/2/20 22:30,351
2/2/20 23:30,226
2/3/20 0:00,226
2/3/20 0:30,253
2/3/20 1:30,430
2/3/20 2:30,320
2/3/20 3:30,61
2/3/20 4:30,170
2/3/20 5:30,410
2/3/20 6:30,1715
2/3/20 7:30,7151
2/3/20 8:30,23007
2/3/20 9:30,38202
2/3/20 10:30,48400
2/3/20 11:30,51732
2/3/20 12:30,49840
2/3/20 13:30,48296
2/3/20 14:30,51504
2/3/20 15:30,47353
2/3/20 16:30,29297
2/3/20 17:30,20724
2/3/20 18:30,15797
2/3/20 19:30,9279
2/3/20 20:30,5940
2/3/20 21:30,5182
2/3/20 22:30,8270
2/3/20 23:30,2491
2/4/20 0:30,1271
2/4/20 1:30,1365
2/4/20 2:30,1124
2/4/20 3:30,696
2/4/20 4:30,744
2/4/20 5:30,1413
2/4/20 6:30,673
2/4/20 7:30,1680
2/4/20 8:30,4392
2/4/20 9:30,7610
2/4/20 10:30,9712
2/4/20 11:30,12749
2/4/20 12:30,10195
2/4/20 13:30,27878
2/4/20 14:30,9606
2/4/20 15:30,7756
2/4/20 16:30,13059
2/4/20 17:30,35759
2/4/20 18:30,21837
2/4/20 19:30,8549
2/4/20 20:30,5839
2/4/20 21:30,4069
2/4/20 22:30,3326
2/4/20 23:30,2052
2/5/20 0:30,1567
2/5/20 1:30,1202
2/5/20 2:30,970
2/5/20 3:30,744
2/5/20 4:30,1383
2/5/20 5:30,1602
2/5/20 6:30,1746
2/5/20 7:30,3531
2/5/20 8:30,8311
2/5/20 9:30,16081
2/5/20 10:30,22185
2/5/20 11:30,24878
2/5/20 12:30,20172
2/5/20 13:30,25485
2/5/20 14:30,26411
2/5/20 15:30,19250
2/5/20 16:30,16733
2/5/20 17:30,12314
2/5/20 18:30,9963
2/5/20 19:30,6966
2/5/20 20:30,3710
2/5/20 21:30,3843
2/5/20 22:30,2304
2/5/20 23:30,1417
2/6/20 0:30,805
2/6/20 1:30,837
2/6/20 2:30,592
2/6/20 3:30,265
2/6/20 4:30,459
2/6/20 5:30,880
2/6/20 6:30,759
2/6/20 7:30,1487
2/6/20 8:30,2774
2/6/20 9:30,15006
2/6/20 10:30,24557
2/6/20 11:30,29829
2/6/20 12:30,18428
2/6/20 13:30,23289
2/6/20 14:30,19632
2/6/20 15:30,18010
2/6/20 16:30,17511
2/6/20 17:30,11610
2/6/20 18:30,9278
2/6/20 19:30,7340
2/6/20 20:30,5159
2/6/20 21:30,3923
2/6/20 22:30,3278
2/6/20 23:30,1712
2/7/20 0:30,1145
2/7/20 1:30,766
2/7/20 2:30,624
2/7/20 3:30,222
2/7/20 4:30,550
2/7/20 5:30,989
2/7/20 6:30,237
2/7/20 7:30,1108
2/7/20 8:30,2775
2/7/20 9:30,5266
2/7/20 10:30,8440
